,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
118,0.13,1.0,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2016,2092220,1
119,0.13,1.0,1.0,0.879,1.0,2.019,2.85,1.146,2017,Atlanta,2017,2092221,1
120,0.13,1.0,1.0,0.879,1.0,2.02,4.81,1.0,2017,Atlanta,2017,2092222,1
121,0.13,1.0,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2017,2092223,1
122,0.13,1.0,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092224,1
123,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092225,0
124,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2016,2092226,1
125,0.13,1.61,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092227,1
126,0.127,1.61,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092228,1
127,0.127,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092229,1
128,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092230,1
129,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092231,1
130,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092232,0
131,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092233,0
132,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2016,2092234,0
133,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092235,0
134,0.13,1.61,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092236,1
135,0.13,1.61,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092237,0
136,0.13,1.61,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092238,0
137,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092239,1
138,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092240,1
139,0.13,1.0,1.0,0.879,1.0,2.019,4.81,1.0,2017,Atlanta,2017,2092241,1
140,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092242,1
141,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2017,2092243,1
142,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092244,1
143,0.13,1.61,1.0,0.879,1.0,1.0,2.85,1.0,2017,Atlanta,2017,2092245,0
